x,y
1,1.2202195284498165
2,1.8648694989117027
3,1.3065343123908355
4,1.5083870118711749
5,1.0603934612242265
6,1.0810536375438218
7,0.9930796645499036
8,0.8497650784976889
9,0.7193135409499806
10,0.42400018709953013
11,0.6453161482448695
12,0.334662759427187
13,0.5508178717199387
14,0.46894848681901224
15,0.5797100500175476
16,0.2722337312864514
17,0.31595864393037454
18,0.2963650695403388
19,0.4661930559788835
20,0.4082947541396703
21,0.3246834868062407
22,0.3981384615852256
23,0.19812979065405217
24,0.008205679571926972
25,0.3216872540747737
26,-0.0859270653646737
27,0.16657657975572976
28,-0.1233629299128585
29,-0.15343790489000142
30,-0.054063041714947704
31,0.3294952063893154
32,-0.00856255709951842
33,0.5011777458937969
34,0.054473239349271445
35,0.34641087339121435
36,-0.36932654725996267
37,0.2953722678076822
38,0.19307461068502452
39,0.39210797391155033
40,-0.14031737199668387
41,0.08081224909622112
42,0.18482653797430298
43,0.2689161020841523
44,0.04715226044911826
45,-0.12601971059798697
46,0.09138076961070359
47,-0.01386300252532249
48,-0.16410909179120275
49,-0.03465633431948954
50,0.056779423097541804
51,0.17706812653764614
52,0.042801674692573906
53,0.06647080720043717
54,0.45077995865015186
55,0.3440957121745541
56,-0.05056095278440124
57,-0.2883443041851014
58,-0.2906515005457555
59,0.3561930950357984
60,-0.11579774395053935
61,-0.07953878588707508
62,0.0015418255411030319
63,0.3467682314382568
64,-0.21366376723618322
65,-0.0053812566850416745
66,0.43553621171684587
67,-0.7246324217362135
68,-0.04178114218029092
69,0.12594005405547984
70,-0.03744799785956157
71,0.012362144430830467
72,0.1784660856776316
73,-0.08001217311849546
74,0.0795562496933082
75,-0.11745670498958213
76,-0.06347442863157376
77,-0.02763863093415199
78,0.03572493604139385
79,-0.05240996686886838
80,0.21559793577965453
81,0.013908276651873086
82,0.22627134268457605
83,-0.15033177000288453
84,0.10183239657012769
85,0.2508090180795605
86,-0.09031425157504896
87,0.0030221077120709556
88,0.07887167252828156
89,0.12123240495352594
90,0.030732806228658597
91,-0.16875830269957237
92,0.006323941900313762
93,0.019752337680246788
94,0.3797889668889353
95,-0.22916238231962083
96,0.2515414532087342
97,0.28944686518573803
98,-0.047817047557002765
99,-0.1520093532112325
100,0.05361136920212624
